member,date_created,date_updated,id,email,name,badge,observed_id,active,comments,last_audio_ts,last_audio_ts_fract,last_proximity_ts,last_contacted_ts,last_voltage,last_seen_ts,last_unsync_ts,project,region
W7SXW19MPM,2019/5/28 12:56,2019/5/28 12:56,115,,Badge412,F7:CA:E5:74:BD:06,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
EJCJZNKPMG,2019/5/28 12:56,2019/5/28 12:56,114,,Badge411,E3:5F:B7:80:8C:1E,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
VVVQLVOOD1,2019/5/28 12:56,2019/5/28 12:56,113,,Badge410,E4:1D:B0:47:33:71,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
5JXIHCGASC,2019/5/28 12:56,2019/5/28 12:56,112,,Badge409,E1:8B:6E:0E:2C:7A,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
413V07OIU6,2019/5/28 12:56,2019/5/28 12:56,111,,Badge408,C5:0E:A8:0B:48:16,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
CXF4MJ608A,2019/5/28 12:56,2019/5/28 12:56,110,,Badge407,C1:5F:E7:20:36:70,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
DHSPP0NHW7,2019/5/28 12:56,2019/5/28 12:56,109,,Badge406,CB:C9:45:50:D3:5E,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
NI0TDDLD7F,2019/5/28 12:56,2019/5/28 12:56,108,,Badge405,CE:D9:95:42:3A:DC,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
2LF6XKYHWV,2019/5/28 12:56,2019/5/28 12:56,107,,Badge404,EA:B7:52:4E:27:2F,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
HBVNN0KU8I,2019/5/28 12:56,2019/5/28 12:56,106,,Badge403,F5:DB:FF:8D:0C:97,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
1Y0FTAVJTQ,2019/5/28 12:56,2019/5/28 12:56,105,,Badge402,F0:02:47:00:FC:61,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
E6S8PGO69F,2019/5/28 12:56,2019/5/28 12:56,104,,Badge401,F0:33:2C:A0:AE:DF,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
EILUW6ISGU,2019/5/28 12:56,2019/5/28 12:56,103,,Badge400,E3:8B:2C:9D:CB:6C,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
KZRNONJ61I,2019/5/28 12:56,2019/5/28 12:56,102,,Badge399,D4:9A:5C:60:CD:7A,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
3N99XO8HLY,2019/5/28 12:56,2019/5/28 12:56,101,,Badge398,F8:2D:A1:09:CC:CE,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
K35TB04FFB,2019/5/28 12:56,2019/5/28 12:56,100,,Badge397,DB:97:55:CA:09:B2,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
2J8MAVR3AS,2019/5/28 12:56,2019/5/28 12:56,99,,Badge396,C7:B7:B2:4C:3E:AD,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
Y0ZAKX140I,2019/5/28 12:56,2019/5/28 12:56,98,,Badge395,E7:C7:56:A9:26:62,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
RWQC6PANDT,2019/5/28 12:56,2019/5/28 12:56,97,,Badge394,F6:50:41:72:9E:95,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
SQNMMWMT04,2019/5/28 12:56,2019/5/28 12:56,96,,Badge393,E0:D6:D8:66:29:B4,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
IQHDJH825T,2019/5/28 12:56,2019/5/28 12:56,95,,Badge392,E4:0A:A8:EA:1A:07,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
CLWN3GHDFY,2019/5/28 12:56,2019/5/28 12:56,94,,Badge391,F5:35:4C:A9:3B:13,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
ER0BPF8FAS,2019/5/28 12:56,2019/5/28 12:56,93,,Badge390,F8:B0:FB:47:2A:4A,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
PW0J7VQIB2,2019/5/28 12:56,2019/5/28 12:56,92,,Badge389,C3:07:61:FE:CD:35,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
3Z1G3VCR7U,2019/5/28 12:56,2019/5/28 12:56,91,,Badge388,E4:1B:9A:D1:D6:FC,0,1,,1559048174,0,1559048174,0,0,0,0,1,Team1
